Character,Betweenness Centrality,PageRank,Degree
Anya Waynwood,0.00010571185005641608,0.0008064992707589913,0.034220532319391636
Oswell Whent,0.00011819180394677839,0.0007555265404978675,0.019011406844106463
Karyl Vance,0.0012919284221619524,0.0011077542867323445,0.06463878326996197
Marq Piper,0.0009377427451452727,0.001219494786811911,0.057034220532319393
Hobb,0.0011323924014165433,0.0018874579045700765,0.053231939163498096
Clydas,0.0005361120056919302,0.0016724764164070401,0.060836501901140684
Chett,0.001068659236916599,0.0011183957049644673,0.04182509505703422
Tysha,0.0,0.0007001937772188698,0.005703422053231939
Shagga,9.109593359631357e-05,0.0011030319172414928,0.022813688212927757
Arys Oakheart,0.0024386883513147846,0.002188817544952147,0.0741444866920152
Preston Greenfield,0.00021841148836347776,0.0015605091644756105,0.06463878326996197
Kevan Lannister,0.004984888715407411,0.003983356319556297,0.12357414448669202
Septon Cellador,0.0005362816859140417,0.0012348181703659912,0.058935361216730035
Othell Yarwyck,0.0004280876699486928,0.0014823434700793048,0.051330798479087454
Dywen,0.00034710142319163597,0.001715737930470176,0.053231939163498096
Mandon Moore,0.000514247605812772,0.0018648141043914037,0.07034220532319392
Hake,1.923330047935904e-06,0.0007007192414446314,0.019011406844106463
Lynesse Hightower,0.000119426561636491,0.00046552143759339196,0.011406844106463879
Rickard Karstark,0.0027073148207574166,0.0020088796835733237,0.06844106463878327
Harrion Karstark,9.392592393336964e-05,0.0007313190336080482,0.028517110266159697
Eddard Karstark,0.0006175326899651295,0.0009411377830604366,0.03802281368821293
Torrhen Karstark,0.0006175326899651295,0.0009411377830604366,0.03802281368821293
Medger Cerwyn,8.786879347493453e-05,0.00044144880771483663,0.015209125475285171
Wyman Manderly,0.005001193266241581,0.001783050336512796,0.06463878326996197
Robett Glover,0.0020825041937455077,0.0013687343033621277,0.051330798479087454
Halys Hornwood,9.821648241421092e-05,0.0005711630138549189,0.026615969581749048
Greatjon Umber,0.004112160681702536,0.002218352754141358,0.08935361216730038
Wylis Manderly,0.0005053314758834612,0.0010237564650430848,0.03802281368821293
Wendel Manderly,0.00042037088880461843,0.0016030149677159606,0.053231939163498096
Helman Tallhart,0.0007482107971664829,0.0011461965280475691,0.045627376425855515
Galbart Glover,0.0006906489937518556,0.0015440013688076241,0.055133079847908745
Chella,8.18052971715471e-06,0.0005846203935550673,0.019011406844106463
Dolf,0.0,0.0004217065708755311,0.0076045627376425855
Timett,0.0002665079431581754,0.0010589572186695002,0.043726235741444866
Flement Brax,0.0004044660675419691,0.0007409744504156648,0.04182509505703422
Tytos Blackwood,0.00013936472229016976,0.0009331192333184333,0.03612167300380228
Tytos Lannister,2.8438851589052365e-05,0.0008858054309126138,0.024714828897338403
Addam Marbrand,0.0016618227574104925,0.0016186166983440842,0.0779467680608365
Gyles Rosby,0.0025809748321592597,0.0020636539347539465,0.10646387832699619
Dontos Hollard,0.0007212045028995299,0.0014876571605903185,0.06844106463878327
Stevron Frey,0.00043593960717963035,0.0017196853313517916,0.0741444866920152
Doran Martell,0.003358113961783824,0.002391181159604927,0.053231939163498096
Lewyn Martell,0.0005633203747128246,0.0009423284078297106,0.028517110266159697
Jonothor Darry,8.652255529912561e-05,0.0008180034856419712,0.019011406844106463
Genna Lannister,0.0008724773495462474,0.001615832253713021,0.06463878326996197
Little Walder,0.0036216909941700647,0.0030304508764095925,0.10076045627376426
Merrett Frey,0.0034836958872601427,0.0015904961740938674,0.060836501901140684
Big Walder,0.003253285297771166,0.0026562032776812974,0.09885931558935361
Olyvar Frey,0.00011921308240536023,0.001250762356245294,0.051330798479087454
Daeron II Targaryen,0.017357797887882977,0.0012516452224800505,0.019011406844106463
Eroeh,0.0013586865609684954,0.0007296709273822523,0.028517110266159697
Jhaqo,2.414146900838916e-06,0.0003967505413842793,0.005703422053231939
Mirri Maz Duur,0.0005124586406567549,0.0014500222092663436,0.028517110266159697
Marwyn,0.0005603219065747417,0.00034411014047802907,0.005703422053231939
Leo Lefford,1.3628239570158612e-05,0.00045900183420863685,0.015209125475285171
Podrick Payne,0.0029031190474258354,0.001669575418435238,0.06844106463878327
Shae,0.00029861464417242395,0.0016094102660049172,0.043726235741444866
Smalljon Umber,0.00015041467825827688,0.0008884006317257892,0.039923954372623575
Daryn Hornwood,0.0004806346934116154,0.0005563181178717665,0.022813688212927757
Robin Flint,0.0001087292628294349,0.0007866578721358066,0.030418250950570342
Gawen Westerling,0.000211546816483056,0.0008354561504959896,0.03231939163498099
Willem Lannister,0.00015038222729089624,0.0009756750633070123,0.034220532319391636
Tion Frey,0.00040134015264587806,0.001028559203238361,0.045627376425855515
Cleos Frey,0.004130773698820285,0.0019942365374428245,0.09505703422053231
Pono,0.0001544787644045499,0.0004678181491476993,0.005703422053231939
Harys Swyft,0.0008730027485939939,0.0013281484624662794,0.06463878326996197
Forley Prester,6.536996502305427e-05,0.0006816384727397972,0.03231939163498099
Vargo Hoat,0.0009081834946246801,0.002156144487703876,0.04752851711026616
Amory Lorch,0.00046122187036484416,0.0008569895519052411,0.028517110266159697
